time_s,x,y,z,qx,qy,qz,qw,target_fz
6.653896,0.013468573,-0.039261576,0.028621235,0.560327939086,0.061116781311,-0.185359589360,0.804946682926,-2.596487
6.720606,0.013520954,-0.038868695,0.029363621,0.559574687843,0.061412568355,-0.185877849639,0.805328560395,-2.572222
6.787320,0.013735263,-0.038140964,0.030481681,0.560128175143,0.061018882537,-0.183435807377,0.805533629314,-2.889107
6.820698,0.013740222,-0.037626584,0.031141926,0.559733693599,0.060899878792,-0.182877486729,0.805943684050,-2.815730
6.887439,0.013800283,-0.036788479,0.032205940,0.559383154170,0.060616999728,-0.181227789133,0.806580779972,-2.814144
6.920993,0.013910432,-0.036320338,0.032929646,0.560000649914,0.060096576139,-0.179448078150,0.806589152469,-3.100303
6.987683,0.014047546,-0.036277416,0.033632215,0.559233151807,0.059274126955,-0.178761245988,0.807334674547,-2.884293
7.054291,0.014077778,-0.036144561,0.034400647,0.558773160716,0.059052436658,-0.180099746870,0.807371937688,-3.004432
7.221302,0.014193643,-0.035920458,0.034922975,0.558054226530,0.059378317571,-0.180659453193,0.807720160468,-3.012732
7.287697,0.014335571,-0.035062369,0.035899528,0.557514289779,0.059374835693,-0.178430632254,0.808588248153,-2.988928
7.355273,0.014206121,-0.034091492,0.036707507,0.557129535413,0.060390170802,-0.178789075499,0.808699063016,-3.003189
7.421476,0.014156509,-0.032947165,0.037549330,0.555514404144,0.061061664940,-0.177512788372,0.810039770522,-3.245672
7.488129,0.014038351,-0.031907601,0.038281339,0.554848961886,0.062482870678,-0.177545076383,0.810380321959,-3.296375
7.521487,0.014046146,-0.031358397,0.038717193,0.555169194344,0.063085923618,-0.177195774671,0.810190711704,-3.191256
7.588023,0.014157322,-0.030962087,0.039699244,0.554817272010,0.062869116451,-0.177354883466,0.810413791952,-3.224980
7.654700,0.014141281,-0.030729149,0.040006821,0.553538179243,0.063952550418,-0.178799847200,0.810886040117,-3.401926
7.721480,0.014203376,-0.030217940,0.040572135,0.552759258315,0.064367572282,-0.178693846492,0.811407744116,-3.626932
7.754762,0.014096322,-0.029822853,0.040773023,0.551171327340,0.065034707235,-0.179348023029,0.812289936789,-4.007128
7.821556,0.014073802,-0.029158846,0.041292384,0.548687068224,0.065511990193,-0.178720815247,0.814069745478,-3.567826
7.888294,0.013980540,-0.028491984,0.041690832,0.548760017595,0.067423332858,-0.179950453881,0.813593492736,-3.861778
