time_s,x,y,z,vx,vy,vz,ax,ay,az,displacement_norm_m,speed_norm_m_s,acc_norm_m_s2
0.117498,0.000069517,0.000924301,0.000897205,0.001191266,0.004005595,0.007226321,-0.105303228,-0.354078897,-0.638778455,0.001290016,0.008347672,0.737901450
0.118477,0.000070633,0.000928052,0.000903972,0.001087668,0.003657250,0.006597887,-0.106210287,-0.357128856,-0.644280753,0.001297473,0.007621720,0.744257572
0.119456,0.000071647,0.000931461,0.000910122,0.000983571,0.003307227,0.005966425,-0.106315759,-0.357483502,-0.644920555,0.001304253,0.006892270,0.744996656
0.120435,0.000072559,0.000934528,0.000915655,0.000879780,0.002958234,0.005336822,-0.105577455,-0.355000978,-0.640441940,0.001310355,0.006164968,0.739823068
0.121414,0.000073370,0.000937255,0.000920574,0.000777142,0.002613117,0.004714212,-0.103953187,-0.349539424,-0.630588987,0.001315783,0.005445744,0.728441175
0.122393,0.000074081,0.000939647,0.000924889,0.000676546,0.002274864,0.004103984,-0.101400765,-0.340956983,-0.615105776,0.001320547,0.004740824,0.710555342
0.123372,0.000074695,0.000941712,0.000928615,0.000578919,0.001946598,0.003511774,-0.097878001,-0.329111795,-0.593736384,0.001324661,0.004056717,0.685869937
0.124351,0.000075216,0.000943462,0.000931773,0.000485234,0.001631584,0.002943470,-0.093342705,-0.313862003,-0.566224892,0.001328149,0.003400226,0.654089326
0.125330,0.000075647,0.000944912,0.000934388,0.000396501,0.001333223,0.002405210,-0.087752690,-0.295065748,-0.532315379,0.001331038,0.002778441,0.614917875
0.126309,0.000075994,0.000946079,0.000936494,0.000313775,0.001055058,0.001903384,-0.081065767,-0.272581170,-0.491751923,0.001333365,0.002198743,0.568059950
0.127288,0.000076264,0.000946986,0.000938129,0.000238149,0.000800767,0.001444630,-0.073239745,-0.246266412,-0.444278605,0.001335172,0.001668801,0.513219919
0.128267,0.000076463,0.000947656,0.000939339,0.000170759,0.000574171,0.001035838,-0.064232438,-0.215979616,-0.389639502,0.001336509,0.001196575,0.450102146
0.129246,0.000076601,0.000948120,0.000940176,0.000112783,0.000379228,0.000684149,-0.054001656,-0.181578922,-0.327578695,0.001337434,0.000790312,0.378411000
0.130225,0.000076687,0.000948411,0.000940699,0.000065438,0.000220034,0.000396954,-0.042505209,-0.142922472,-0.257840262,0.001338013,0.000458551,0.297850846
0.131204,0.000076733,0.000948564,0.000940976,0.000029985,0.000100825,0.000181894,-0.029700911,-0.099868407,-0.180168282,0.001338319,0.000210120,0.208126050
0.133162,0.000076753,0.000948631,0.000941097,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.001338453,0.000000000,0.000000000
0.134145,0.000076767,0.000948550,0.000941102,0.000041411,-0.000244661,0.000013732,0.083028700,-0.490538246,0.027532725,0.001338399,0.000248521,0.498276616
0.135127,0.000076860,0.000947999,0.000941132,0.000160738,-0.000949649,0.000053301,0.158621993,-0.937147693,0.052599833,0.001338036,0.000964630,0.951931446
0.136110,0.000077106,0.000946547,0.000941214,0.000350784,-0.002072452,0.000116322,0.227005196,-1.341159519,0.075276040,0.001337079,0.002105145,1.362316665
0.137093,0.000077570,0.000943803,0.000941368,0.000604575,-0.003571866,0.000200480,0.288403624,-1.703904897,0.095636061,0.001335273,0.003628213,1.730784448
0.138075,0.000078313,0.000939417,0.000941614,0.000915359,-0.005407995,0.000303538,0.343042592,-2.026715005,0.113754611,0.001332394,0.005493308,2.058686970
0.139058,0.000079386,0.000933077,0.000941970,0.001276605,-0.007542253,0.000423328,0.391147415,-2.310921017,0.129706407,0.001328248,0.007661234,2.347376408
0.140040,0.000080836,0.000924509,0.000942451,0.001682001,-0.009937358,0.000557760,0.432943409,-2.557854109,0.143566165,0.001322674,0.010094123,2.598204935
0.141023,0.000082704,0.000913474,0.000943070,0.002125460,-0.012557341,0.000704813,0.468655889,-2.768845458,0.155408599,0.001315544,0.012755436,2.812524728
0.142006,0.000085023,0.000899768,0.000943840,0.002601115,-0.015367536,0.000862543,0.498510171,-2.945226238,0.165308425,0.001306769,0.015609963,2.991687962
0.142988,0.000087824,0.000883222,0.000944768,0.003103320,-0.018334589,0.001029076,0.522731569,-3.088327626,0.173340360,0.001296295,0.018623822,3.137046812
0.143971,0.000091129,0.000863695,0.000945864,0.003626650,-0.021426453,0.001202615,0.541545399,-3.199480797,0.179579119,0.001284108,0.021764461,3.249953454
0.144954,0.000094957,0.000841082,0.000947133,0.004165903,-0.024612388,0.001381434,0.555176977,-3.280016927,0.184099417,0.001270235,0.025000654,3.331760062
0.145936,0.000099320,0.000815304,0.000948580,0.004716096,-0.027862962,0.001563881,0.563851617,-3.331267192,0.186975970,0.001254747,0.028302508,3.383818813
0.146919,0.000104227,0.000786312,0.000950208,0.005272470,-0.031150053,0.001748377,0.567794635,-3.354562766,0.188283495,0.001237758,0.031641453,3.407481882
0.147901,0.000109682,0.000754083,0.000952017,0.005830487,-0.034446845,0.001933418,0.567231347,-3.351234827,0.188096706,0.001219429,0.034990254,3.404101444
0.148884,0.000115685,0.000718620,0.000954007,0.006385828,-0.037727832,0.002117572,0.562387067,-3.322614550,0.186490319,0.001199970,0.038322999,3.375029674
0.149867,0.000122230,0.000679951,0.000956177,0.006934398,-0.040968814,0.002299480,0.553487112,-3.270033109,0.183539049,0.001179639,0.041615108,3.321618747
0.150849,0.000129309,0.000638126,0.000958525,0.007472322,-0.044146901,0.002477859,0.540756795,-3.194821682,0.179317614,0.001158748,0.044843330,3.245220840
0.151832,0.000136910,0.000593218,0.000961045,0.007995947,-0.047240508,0.002651495,0.524421434,-3.098311444,0.173900728,0.001137656,0.047985740,3.147188127
0.152815,0.000145018,0.000545320,0.000963734,0.008501842,-0.050229362,0.002819253,0.504706342,-2.981833570,0.167363106,0.001116775,0.051021744,3.028872784
0.153797,0.000153612,0.000494545,0.000966584,0.008986796,-0.053094496,0.002980066,0.481836836,-2.846719237,0.159779466,0.001096565,0.053932076,2.891626986
0.154780,0.000162671,0.000441022,0.000969588,0.009447819,-0.055818251,0.003132943,0.456038231,-2.694299619,0.151224521,0.001077526,0.056698799,2.736802908
0.155763,0.000172171,0.000384899,0.000972738,0.009882146,-0.058384276,0.003276968,0.427535841,-2.525905893,0.141772989,0.001060193,0.059305303,2.565752727
0.156745,0.000182083,0.000326338,0.000976025,0.010287229,-0.060777528,0.003411296,0.396554983,-2.342869234,0.131499584,0.001045120,0.061736310,2.379828616
0.157728,0.000192377,0.000265516,0.000979439,0.010660743,-0.062984274,0.003535155,0.363320972,-2.146520818,0.120479022,0.001032864,0.063977868,2.180382752
0.158710,0.000203023,0.000202622,0.000982969,0.011000586,-0.064992086,0.003647849,0.328059122,-1.938191821,0.108786019,0.001023964,0.066017353,1.968767310
0.159693,0.000213985,0.000137858,0.000986604,0.011304876,-0.066789846,0.003748753,0.290994750,-1.719213418,0.096495291,0.001018912,0.067843473,1.746334465
0.160676,0.000225228,0.000071435,0.000990332,0.011571952,-0.068367743,0.003837316,0.252353171,-1.490916785,0.083681553,0.001018129,0.069446262,1.514436392
0.161658,0.000236714,0.000003572,0.000994141,0.011800374,-0.069717276,0.003913062,0.212359700,-1.254633098,0.070419521,0.001021940,0.070817084,1.274425267
0.162641,0.000248405,-0.000065501,0.000998018,0.011988926,-0.070831249,0.003975587,0.171239652,-1.011693533,0.056783911,0.001030551,0.071948631,1.027653266
0.163624,0.000260262,-0.000135551,0.001001950,0.012136610,-0.071703777,0.004024560,0.129218343,-0.763429265,0.042849438,0.001044037,0.072834923,0.775472563
0.164606,0.000272243,-0.000206337,0.001005923,0.012242652,-0.072330282,0.004059724,0.086521087,-0.511171469,0.028690818,0.001062343,0.073471311,0.519235334
0.165589,0.000284308,-0.000277617,0.001009923,0.012306499,-0.072707493,0.004080896,0.043373201,-0.256251322,0.014382767,0.001085287,0.073854472,0.260293755
0.166571,0.000296415,-0.000349144,0.001013938,0.012327818,-0.072833447,0.004087965,0.000000000,-0.000000000,0.000000000,0.001112580,0.073982414,0.000000000
0.167554,0.000308522,-0.000420672,0.001017953,0.012306499,-0.072707493,0.004080896,-0.043373201,0.256251322,-0.014382767,0.001143844,0.073854472,0.260293755
0.168537,0.000320587,-0.000491952,0.001021953,0.012242652,-0.072330282,0.004059724,-0.086521087,0.511171469,-0.028690818,0.001178635,0.073471311,0.519235334
0.169519,0.000332568,-0.000562738,0.001025926,0.012136610,-0.071703777,0.004024560,-0.129218343,0.763429265,-0.042849438,0.001216471,0.072834923,0.775472563
