time_s,x_filtered,y_filtered,z_filtered,vx,vy,vz,ax,ay,az,speed_norm_m_s,acc_norm_m_s2
0.173450,0.000163389,0.000025425,0.000760445,0.001188510,-0.003307557,0.003270955,-0.030593008,0.085138642,-0.084196487,0.004801212,0.123586281
0.174433,0.000164542,0.000022218,0.000763617,0.001156519,-0.003218529,0.003182912,-0.034489678,0.095982859,-0.094920701,0.004671980,0.139327623
0.175415,0.000165661,0.000019103,0.000766697,0.001120791,-0.003119098,0.003084582,-0.038196845,0.106299698,-0.105123372,0.004527647,0.154303429
0.176398,0.000166743,0.000016091,0.000769676,0.001081522,-0.003009816,0.002976509,-0.041690820,0.116023236,-0.114739309,0.004369015,0.168418006
0.177380,0.000167786,0.000013191,0.000772544,0.001038935,-0.002891298,0.002859302,-0.044947915,0.125087551,-0.123703317,0.004196975,0.181575663
0.178363,0.000168784,0.000010412,0.000775292,0.000993273,-0.002764223,0.002733634,-0.047944443,0.133426721,-0.131950205,0.004012515,0.193680707
0.179346,0.000169737,0.000007761,0.000777914,0.000944804,-0.002629338,0.002600241,-0.050656715,0.140974824,-0.139414779,0.003816717,0.204637446
0.180328,0.000170640,0.000005247,0.000780400,0.000893820,-0.002487451,0.002459925,-0.053061043,0.147665937,-0.146031847,0.003610756,0.214350189
0.181311,0.000171493,0.000002875,0.000782746,0.000840634,-0.002339438,0.002313549,-0.055133740,0.153434137,-0.151736216,0.003395901,0.222723244
0.182294,0.000172292,0.000000651,0.000784945,0.000785584,-0.002186237,0.002162043,-0.056851118,0.158213504,-0.156462694,0.003173516,0.229660917
0.183276,0.000173036,-0.000001420,0.000786994,0.000729031,-0.002028852,0.002006400,-0.058189488,0.161938113,-0.160146086,0.002945058,0.235067518
0.184259,0.000173724,-0.000003335,0.000788887,0.000671358,-0.001868352,0.001847677,-0.059125163,0.164542044,-0.162721201,0.002712079,0.238847354
